Attacker,Captain Lysander,High Marshal Helbrecht,Marneus Calgar,Chief Librarian Tigerius,Chaplain Cassius,Captain Sicarius,Pedro Kantor,The Emperors Champion,Chaplain Grimaldus,Korsarro Khan,Vulkan Hestan,Kayvaan Shrike,Commander Dante,Captain Tycho,Tycho the Lost,The Sanguinor,Astorath,Brother Corbulo,Lemartes,Gabriel Seth,Azrael,Belial,Belial - Thunder Hammer Storm Shield,Belial - Two Lightning Claws,Sammael on Corvex,Sammael on Sableclaw,Asmodai,Ezekiel,Logan Grimnar,Ragnar Blackmane,Krom Dragongraze,Harald Deathwolf,Ulrik the Slayer,Lukas the Trickster,Arjac Rockfist,Watch Captain Artemis
Captain Lysander,0.4838,0.8932,0.4625,0.9949,0.935,0.8061,0.8416,0.7553,0.9128,0.8475,0.7996,0.8135,0.7362,1,0.9999,0.8373,0.9228,1,0.8358,0.6704,0.7534,0.5899,0.4813,0.8817,0.7412,0.5731,0.8739,0.9588,0.4308,0.8235,0.8413,0.6039,0.8721,0.9336,0.1061,0.9987
High Marshal Helbrecht,0.1505,0.5871,0.1185,0.9924,0.8375,0.5771,0.498,0.5879,0.8787,0.5861,0.4816,0.5389,0.3508,0.9998,0.9997,0.5793,0.7108,0.9997,0.6105,0.4287,0.3863,0.1722,0.1419,0.4194,0.1646,0.102,0.7909,0.8279,0.2196,0.5405,0.5854,0.1576,0.7347,0.8343,0.0494,0.9542
Marneus Calgar,0.4877,0.9235,0.5296,0.9999,0.9992,0.8749,0.8489,0.8243,0.9998,0.8969,0.8573,0.8504,0.6429,1,1,0.8789,0.9658,1,0.8922,0.8633,0.6856,0.7391,0.5189,0.6819,0.9125,0.8766,0.999,0.9909,0.5995,0.9756,0.8924,0.7788,0.9963,0.9993,0.107,0.9947
Chief Librarian Tigerius,0.0088,0.0143,0,0.4984,0.2625,0.0331,0.0102,0.0401,0.2239,0.0523,0.0475,0.0215,0.0089,0.5181,0.4289,0.0211,0.0381,0.4541,0.0875,0.0404,0.0094,0.0044,0.0049,0.0171,0.0095,0.0035,0.1221,0.0774,0.0019,0.0489,0.0673,0.0065,0.0992,0.0696,0.0008,0.2021
Chaplain Cassius,0.0373,0.2037,0.0004,0.7017,0.4882,0.0938,0.1244,0.1553,0.5393,0.2192,0.1155,0.1099,0.0283,0.8472,0.8106,0.0704,0.3248,0.763,0.2486,0.1545,0.035,0.0232,0.0901,0.1965,0.0224,0.0167,0.2744,0.3867,0.0279,0.1901,0.1489,0.0122,0.2225,0.3861,0.0009,0.8188
Captain Sicarius,0.2364,0.592,0.1175,0.976,0.9029,0.4777,0.4787,0.5488,0.9218,0.5692,0.5846,0.5216,0.3006,0.9999,0.9996,0.5593,0.7075,0.9978,0.595,0.4778,0.3717,0.3231,0.2428,0.5818,0.3714,0.2977,0.8567,0.8239,0.2297,0.6125,0.5663,0.3527,0.7986,0.8053,0.0468,0.9606
Pedro Kantor,0.1334,0.5849,0.1265,0.9849,0.8612,0.5552,0.4564,0.5101,0.8712,0.5393,0.4828,0.4859,0.276,0.9999,1,0.5318,0.7134,0.9993,0.5712,0.3847,0.3454,0.1523,0.1223,0.4167,0.3031,0.2324,0.7909,0.8264,0.1751,0.4822,0.5498,0.1819,0.7492,0.7527,0.0271,0.9655
The Emperors Champion,0.2036,0.5192,0.0816,0.9887,0.8429,0.5925,0.4423,0.611,0.8117,0.5412,0.4347,0.518,0.3476,0.9985,0.9974,0.5434,0.6446,0.9935,0.5737,0.5144,0.3834,0.1356,0.2019,0.3488,0.392,0.275,0.686,0.7568,0.2846,0.5115,0.5527,0.1966,0.6778,0.836,0.0554,0.9145
Chaplain Grimaldus,0.0604,0.16,0.0008,0.7531,0.4096,0.0829,0.0948,0.195,0.4831,0.1915,0.1661,0.0791,0.0401,0.7431,0.6998,0.1008,0.2296,0.6868,0.3099,0.1311,0.0599,0.0408,0.0731,0.1449,0.0138,0.0088,0.2067,0.3125,0.0244,0.1445,0.1927,0.0194,0.1812,0.3293,0.0003,0.7148
Korsarro Khan,0.123,0.4779,0.0858,0.9534,0.722,0.493,0.3702,0.4792,0.7399,0.4565,0.3958,0.4168,0.2277,0.9877,0.9801,0.463,0.6293,0.9851,0.4915,0.2275,0.2796,0.1659,0.1264,0.3558,0.3086,0.2397,0.599,0.7522,0.1641,0.4791,0.478,0.1845,0.5648,0.7894,0.0234,0.9316
Vulkan Hestan,0.1807,0.5886,0.148,0.9427,0.8682,0.4359,0.488,0.5192,0.824,0.567,0.4917,0.5105,0.3067,0.9968,0.995,0.5486,0.7168,0.9859,0.5826,0.3048,0.3257,0.2472,0.1862,0.4409,0.401,0.3169,0.7122,0.8146,0.25,0.6108,0.5575,0.3664,0.6407,0.7835,0.0312,0.9546
Kayvaan Shrike,0.1507,0.531,0.0974,0.983,0.8758,0.5485,0.4336,0.534,0.8937,0.5098,0.4376,0.4722,0.2849,0.9998,0.9993,0.5084,0.6664,0.9974,0.5397,0.4327,0.3257,0.1996,0.1625,0.4131,0.3287,0.2471,0.8193,0.7833,0.2069,0.542,0.5198,0.2103,0.7867,0.824,0.0355,0.9478
Commander Dante,0.2364,0.7165,0.2323,0.9969,0.9559,0.7389,0.6204,0.7075,0.9326,0.7052,0.6394,0.6641,0.4575,1,1,0.6994,0.8262,0.9999,0.7268,0.5598,0.5204,0.2678,0.2153,0.637,0.4849,0.4046,0.8768,0.9047,0.3375,0.6692,0.7078,0.4307,0.8686,0.8858,0.0788,0.9943
Captain Tycho,0,0.0004,0,0.4832,0.1635,0.0005,0.0003,0.0024,0.2581,0.0147,0.0028,0.0005,0,0.50225,0.3859,0.0008,0.0043,0.4094,0.0243,0.0069,0.0002,0.0001,0.0001,0.0001,0,0.0002,0.1018,0.013,0,0.0138,0.0141,0.0002,0.0114,0.0387,0.0002,0.1657
